Day,Month,Poop collected y/n,AM/PM,Weather,Loc Desc,Scan time,Age,Sex,Strata,Behavior,Descriptor,Location
11,June,Y,AM,SC LW,F HO Ln,9:30,I,U,G,Fo,N,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,J,U,G,Fe,HFc,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,I,U,G,PL,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,I,U,G,PL,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,I,U,G,L,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,I,U,G,L,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,I,U,G,L,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,I,U,G,L,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,I,U,G,L,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,J,U,G,L,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,J,U,G,L,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,J,U,G,L,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,A,M,G,L,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,A,F,G,L,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,A,F,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,A,F,HCS,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:30,A,M,G,L,0,Ln
11,June,Y,AM,SC LW,F HO Ln PW,9:35,J,U,G,PL,0,HO
11,June,,AM,SC LW,F HO Ln PW,9:35,J,U,G,PL,0,HO
11,June,,AM,SC LW,F HO Ln PW,9:35,J,U,G,L,0,HO
11,June,,AM,SC LW,F HO Ln PW,9:35,J,U,G,L,0,HO
11,June,,AM,SC LW,F HO Ln PW,9:35,A,M,G,L,0,PW
11,June,,AM,SC LW,F HO Ln PW,9:35,J,M,G,R,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:35,I,U,MC,L,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:35,I,U,MC,L,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:35,A,F,G,L,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:35,A,F,G,L,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:35,J,M,G,Fe,HFc,Ln
11,June,,AM,SC LW,F HO Ln PW,9:40,J,U,G,PL,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:40,J,U,G,PL,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:40,J,U,G,PL,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:40,J,U,G,PL,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:40,J,U,G,PL,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:40,J,U,G,PL,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:40,J,U,G,PL,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:40,J,U,G,PL,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:40,I,U,G,Fe,N,Ln
11,June,,AM,SC LW,F HO Ln PW,9:40,I,U,MC,PL,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:40,I,M,MC,PL,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:40,J,U,G,R,0,Ln
11,June,,AM,SC LW,F HO Ln PW,9:40,A,M,G,L,0,PW
11,June,,AM,SC LW,HO Ln,9:45,J,U,HS,R,0,HO
11,June,,AM,SC LW,HO Ln,9:45,J,U,HS,L,0,HO
11,June,,AM,SC LW,HO Ln,9:45,J,U,MC,L,0,HO
11,June,,AM,SC LW,HO Ln,9:45,I,U,HCS,Fe,N,HO
11,June,,AM,SC LW,HO Ln,9:45,J,U,MC,R,0,HO
11,June,,AM,SC LW,CP Ln,9:50,J,U,HCS,PL,0,CP
11,June,,AM,SC LW,CP Ln,9:50,J,U,MC,PL,0,CP
11,June,,AM,SC LW,CP Ln,9:50,I,U,HCS,R,0,CP
11,June,,AM,SC LW,CP Ln,9:50,J,U,MC,Fe,N,CP
